section_num,district,address,phone,judge_name,schedule,boundary_text
1,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 10-а",2610147,"Сасаева Ирина
Николаевна	Время работы с","Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи - в течение всего рабочего дня

Границы участка: Улицы: Баженова, Бахтина, Береговая, Бубнова, Восточная, Железнодорожная, Заслонова, Коломенская - дома четные, Костылева, Мелентьева, Мончегорская - дома N 6 (корп. 1), 6а (корп. 2), 7а, 8а, 10а, 11а (корп. 1, 2, 3), 12 (корп. 1), 12а, 12б, 13а (корп. 1), 15а (корп. 1), 16а (корп. 1, 2, 3), 17а (корп. 1, 2, 3, 4), 17 (корп. 1), 18 (корп. 1, 2, 3, 4), 19 (корп. 1, 2, 3), 29, 30, 31, 32, 33, Полевая, Сазанова - дома нечетные, Советской Милиции, Талалихина. Поселки: Новое Доскино, совхоз ""Доскино"". Станция Доскино. Аэропорт. СМП - 867, 428 км.","Улицы: Баженова, Бахтина, Береговая, Бубнова, Восточная, Железнодорожная, Заслонова, Коломенская - дома четные, Костылева, Мелентьева, Мончегорская - дома N 6 (корп. 1), 6а (корп. 2), 7а, 8а, 10а, 11а (корп. 1, 2, 3), 12 (корп. 1), 12а, 12б, 13а (корп. 1), 15а (корп. 1), 16а (корп. 1, 2, 3), 17а (корп. 1, 2, 3, 4), 17 (корп. 1), 18 (корп. 1, 2, 3, 4), 19 (корп. 1, 2, 3), 29, 30, 31, 32, 33, Полевая, Сазанова - дома нечетные, Советской Милиции, Талалихина. Поселки: Новое Доскино, совхоз ""Доскино"". Станция Доскино. Аэропорт. СМП - 867, 428 км."
2,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 10-а",2610148,Ямаева Ирина Григорьевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспекты: Ильича - дома с N 38 по N 77, Молодежный - дома N 1, 1а, 1б, 3, 3 (корп. 1), с N 5 по N 17 (нечетная сторона), 19, 21, 22, 23, 23а, 24, 24а, 25, 26, 27, 28, 28а, 29, 30, 31, 32, с N 33 по N 93. Улицы: Волкова, Дегтярева, Карьерная, Красноуральская, Красных партизан - дома четные, Левитана, Маковского - дома нечетные, Мончегорская - дома N 2а, 3 (корп. 1, 2), 4 (корп. 1, 2), 6а, 34, Обнорского, Петряевка, Сазанова - дома четные, Спутник, Толбухина - дома четные. Переулок Бакинский. Станция Петряевка. Садоводческие товарищества: по пр. Молодежный, на ст. Петряевка. Рабочий поселок Орловка.","Проспекты: Ильича - дома с N 38 по N 77, Молодежный - дома N 1, 1а, 1б, 3, 3 (корп. 1), с N 5 по N 17 (нечетная сторона), 19, 21, 22, 23, 23а, 24, 24а, 25, 26, 27, 28, 28а, 29, 30, 31, 32, с N 33 по N 93. Улицы: Волкова, Дегтярева, Карьерная, Красноуральская, Красных партизан - дома четные, Левитана, Маковского - дома нечетные, Мончегорская - дома N 2а, 3 (корп. 1, 2), 4 (корп. 1, 2), 6а, 34, Обнорского, Петряевка, Сазанова - дома четные, Спутник, Толбухина - дома четные. Переулок Бакинский. Станция Петряевка. Садоводческие товарищества: по пр. Молодежный, на ст. Петряевка. Рабочий поселок Орловка."
3,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 6-а",2610149,Шикина Анна Владимировна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Абразивная, Авиационная, Авторская, Академика Павлова, Безводная, Безлесная, Бестужева, Блюхера, Владивостокская, Власенко, Вновьпроектная, Водоемная, Газонная, Гайдара, Гнилицкая, Державина, Зеленхозовская, Земляничная, Зои Космодемьянской, Космическая - дома с N 41 по N 60, Красный Перекоп, Курчатова, Лекальная, Лесосечная, Луговая, Лысенко, Лышнова, Ляхова, Малоэтажная, Малышевская, Матюшенко, Мелиоративная, Минеева - дома с N 31 по N 35, Нагулинская, Нижняя, Новая Стройка, Новополевая, Новошкольная, Объединения, Ореховская, Отечественная, Отрадная, Парышевская, Патриотов, Первомайская, Петрозаводская, Пилотов, Пойменная, Постышева, Проезжая - дома четные, Рельсовая, Ржевская, Садовая, Сенявинская, Старикова, Стахановская, Стригинская, Структурная, Тарханова, Третьяковская, Тростниковая, Тяблинская, Усадебная, Учительская, Чапаева, Шушенская. Переулки: Лекальный, Лесосечный, Лышнова, Малоэтажный, Ореховский, Патриотов, Стригинский, Тяблинский, Художественный. Поселки: Мостоотряд, Нагулино, Народной Стройки, Парышево, Питомник. Дома Горьковской железной дороги. Дома в Стригинском бору. Кладбища: ""Ново-Стригинское"", ""Старое Автозаводское"".","Улицы: Абразивная, Авиационная, Авторская, Академика Павлова, Безводная, Безлесная, Бестужева, Блюхера, Владивостокская, Власенко, Вновьпроектная, Водоемная, Газонная, Гайдара, Гнилицкая, Державина, Зеленхозовская, Земляничная, Зои Космодемьянской, Космическая - дома с N 41 по N 60, Красный Перекоп, Курчатова, Лекальная, Лесосечная, Луговая, Лысенко, Лышнова, Ляхова, Малоэтажная, Малышевская, Матюшенко, Мелиоративная, Минеева - дома с N 31 по N 35, Нагулинская, Нижняя, Новая Стройка, Новополевая, Новошкольная, Объединения, Ореховская, Отечественная, Отрадная, Парышевская, Патриотов, Первомайская, Петрозаводская, Пилотов, Пойменная, Постышева, Проезжая - дома четные, Рельсовая, Ржевская, Садовая, Сенявинская, Старикова, Стахановская, Стригинская, Структурная, Тарханова, Третьяковская, Тростниковая, Тяблинская, Усадебная, Учительская, Чапаева, Шушенская. Переулки: Лекальный, Лесосечный, Лышнова, Малоэтажный, Ореховский, Патриотов, Стригинский, Тяблинский, Художественный. Поселки: Мостоотряд, Нагулино, Народной Стройки, Парышево, Питомник. Дома Горьковской железной дороги. Дома в Стригинском бору. Кладбища: ""Ново-Стригинское"", ""Старое Автозаводское""."
4,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 10-а",2610152,Двойнякова Наталья Владимировна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспекты: Ильича - дома N 7, 9, 11, 13, 15, 17, 19, Молодежный - дома N 2, 2а, 4, 6, 8, 10, 12, 12а, 14, 16, 18, 18а, 20. Улицы: Афанасьева, Дуденевская, Зенитчиков, Коломенская - дома нечетные, Космическая - дома с N 1 по N 40, Лескова - дома четные, Ляпунова, Майкопская, Маковского - дома четные, Минеева - дома с N 1 по N 30, Мончегорская - дома N 1, 2, 3, 3а, 4, 5, 6, 7, 7/1, 8, 9, 10, 11, 12, 13, 13а, 14, 14а, 15, 16, 16б, 17, 17а, 18, 18а, 19, 20, 21, 21а, 22, 22а, 23, 24, 25, 26, 27, 28, Нарвская, Орбели, Проезжая - дома нечетные, Смирнова, Толбухина - дома нечетные, Турнирная, Я. Купалы - дома нечетные. ДКШ, кинотеатр ""Мир"", Парк культуры и отдыха, центр культуры и досуга ""Дворец культуры ОАО ""ГАЗ"".","Проспекты: Ильича - дома N 7, 9, 11, 13, 15, 17, 19, Молодежный - дома N 2, 2а, 4, 6, 8, 10, 12, 12а, 14, 16, 18, 18а, 20. Улицы: Афанасьева, Дуденевская, Зенитчиков, Коломенская - дома нечетные, Космическая - дома с N 1 по N 40, Лескова - дома четные, Ляпунова, Майкопская, Маковского - дома четные, Минеева - дома с N 1 по N 30, Мончегорская - дома N 1, 2, 3, 3а, 4, 5, 6, 7, 7/1, 8, 9, 10, 11, 12, 13, 13а, 14, 14а, 15, 16, 16б, 17, 17а, 18, 18а, 19, 20, 21, 21а, 22, 22а, 23, 24, 25, 26, 27, 28, Нарвская, Орбели, Проезжая - дома нечетные, Смирнова, Толбухина - дома нечетные, Турнирная, Я. Купалы - дома нечетные. ДКШ, кинотеатр ""Мир"", Парк культуры и отдыха, центр культуры и досуга ""Дворец культуры ОАО ""ГАЗ""."
5,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 10-а",2610153,Ульянов Алексей Валерьевич	Время работыс,"Время работыс 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Выборгская, Лескова - дома нечетные, Прыгунова, Старых Производственников, Тюленина, Южное Шоссе - дома N 1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 19, 19а, 21, 21а, 23, 25, 37, 39, 41, 43, Я. Купалы – четные. Трамвайно - троллейбусное депо N 3. Гаражно - строительные кооперативы на пр. Молодежный. Станция метро ""Парк культуры и отдыха"".","Улицы: Выборгская, Лескова - дома нечетные, Прыгунова, Старых Производственников, Тюленина, Южное Шоссе - дома N 1, 3, 5, 7, 9, 11, 13, 15, 16, 17, 19, 19а, 21, 21а, 23, 25, 37, 39, 41, 43, Я. Купалы – четные. Трамвайно - троллейбусное депо N 3. Гаражно - строительные кооперативы на пр. Молодежный. Станция метро ""Парк культуры и отдыха""."
6,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 10-а",2610154,Базанов Александр Владимирович	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Ленина. Улицы: Автомеханическая, Веденяпина, Монастырка, Ю. Фучика. Станции метро: ""Автозаводская"", ""Комсомольская"".","Проспект Ленина. Улицы: Автомеханическая, Веденяпина, Монастырка, Ю. Фучика. Станции метро: ""Автозаводская"", ""Комсомольская""."
7,Автозаводский район,"603950, г.Н.Новгород, ул.Ватутина, 6-а",2690667,Смыслова Ольга Евгеньевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: 6-й микрорайон, Шнитникова. Южное Шоссе - дома N 2, 2а, 2б, 4, 4а, 6, 8, 10, 12, 14, 16а, 16б, 18, 20, 20а, 22, 22а, 22б, 24, 24а, 24б, 26, 26а, 26б, 27, 28 (корп. 1, 2), 28а, 28б, 29, 30, 30а, 30б, 31, 32, 32а, 33, 34, 34а, 35, 36, 38, 39а, 39б, 40, 40а, 42, 44, с N 45 по N 60. Общежитие ВПЧ 35. Станция Счастливая.","Улицы: 6-й микрорайон, Шнитникова. Южное Шоссе - дома N 2, 2а, 2б, 4, 4а, 6, 8, 10, 12, 14, 16а, 16б, 18, 20, 20а, 22, 22а, 22б, 24, 24а, 24б, 26, 26а, 26б, 27, 28 (корп. 1, 2), 28а, 28б, 29, 30, 30а, 30б, 31, 32, 32а, 33, 34, 34а, 35, 36, 38, 39а, 39б, 40, 40а, 42, 44, с N 45 по N 60. Общежитие ВПЧ 35. Станция Счастливая."
8,"Границы участка: Улицы: 6-й микрорайон, Шнитникова. Южное Шоссе - дома N 2, 2а, 2б, 4, 4а, 6, 8, 10, 12, 14, 16а, 16б, 18, 20, 20а, 22, 22а, 22б, 24, 24а, 24б, 26, 26а, 26б, 27, 28 (корп. 1, 2), 28а, 28б, 29, 30, 30а, 30б, 31, 32, 32а, 33, 34, 34а, 35, 36, 38, 39а, 39б, 40, 40а, 42, 44, с N 45 по N 60. Общежитие ВПЧ 35. Станция Счастливая.","603950, г.Н.Новгород, ул.Ватутина, 6-а",2690666,Васенькина Елена Викторовна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня.
Границы участка: Проспекты: Ильича - дома N 1, 1а, 2, 2а, 2б, 3, 4, 5, 6, 8, 10, 12, 14, 16, 18, 20, 21, 22, 23, 23а, 24, 25, 26, 27, 28, 29, 30, 30а, 31, 32, 32а, 33, 34, 34а, 35, 36, 36а, 37, Кирова, Октября - дома четные. Бульвар Коноваленко. Улицы: Ватутина, Комсомольская - дома с N 39 по N 56, Краснодонцев, Красных партизан - дома нечетные, Поющева - дома четные, Пролетарская - дом N 53, Челюскинцев - дома четные. Переулок Рулевой. Станция метро ""Кировская"".","Проспекты: Ильича - дома N 1, 1а, 2, 2а, 2б, 3, 4, 5, 6, 8, 10, 12, 14, 16, 18, 20, 21, 22, 23, 23а, 24, 25, 26, 27, 28, 29, 30, 30а, 31, 32, 32а, 33, 34, 34а, 35, 36, 36а, 37, Кирова, Октября - дома четные. Бульвар Коноваленко. Улицы: Ватутина, Комсомольская - дома с N 39 по N 56, Краснодонцев, Красных партизан - дома нечетные, Поющева - дома четные, Пролетарская - дом N 53, Челюскинцев - дома четные. Переулок Рулевой. Станция метро ""Кировская""."
9,"Границы участка: Улицы: 6-й микрорайон, Шнитникова. Южное Шоссе - дома N 2, 2а, 2б, 4, 4а, 6, 8, 10, 12, 14, 16а, 16б, 18, 20, 20а, 22, 22а, 22б, 24, 24а, 24б, 26, 26а, 26б, 27, 28 (корп. 1, 2), 28а, 28б, 29, 30, 30а, 30б, 31, 32, 32а, 33, 34, 34а, 35, 36, 38, 39а, 39б, 40, 40а, 42, 44, с N 45 по N 60. Общежитие ВПЧ 35. Станция Счастливая.","603950, г.Н.Новгород, ул.Ватутина, 6-а",2690662,Царькова Тамара Аркадьевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 16.00-17.00; вторник, среда 08.00-09.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Октября - дома нечетные. Улицы: Комсомольская - дома с N 1 по 18, Гаражно - строительные кооперативы по ул. Комсомольская, Лоскутова, Поющева - дома нечетные, Политбойцов - дома нечетные, Рабочая, Раевского, Советской Армии, Челюскинцев - дома нечетные, Школьная. Переулок Моторный.

Канавинский район","Проспект Октября - дома нечетные. Улицы: Комсомольская - дома с N 1 по 18, Гаражно - строительные кооперативы по ул. Комсомольская, Лоскутова, Поющева - дома нечетные, Политбойцов - дома нечетные, Рабочая, Раевского, Советской Армии, Челюскинцев - дома нечетные, Школьная. Переулок Моторный.

Канавинский район"
1,Канавинский район,"603950, г. Н.Новгород, ул. Гордеевская, 42",2415521,Шмырина Галина Владимировна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Генерала Зимина, Гордеевская, Запорожская, Магнитогорская, Мурманская, Новгородская, Оренбургская, Сумская, Таганрогская, Тонкинская, Тульская, Черноморская. Переулки: Буйко Аллы, Корабельный, Рахманинова, Толоконцевский.","Улицы: Генерала Зимина, Гордеевская, Запорожская, Магнитогорская, Мурманская, Новгородская, Оренбургская, Сумская, Таганрогская, Тонкинская, Тульская, Черноморская. Переулки: Буйко Аллы, Корабельный, Рахманинова, Толоконцевский."
2,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2460501,Бережнова Юлия Юрьевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Авангардная, Айвазовского - дома N 4, 4лс, 5, 6, 6лс, 7, 7лс, 8, 8лс, 9, 10, Актюбинская, Аэродромная, Балаковская, Ближняя, Болотникова - дома с N 2 по N 7, 9, Брестская, Военкомовская, Вторчермета, Высоковольтная, Вязниковская, Гродненская, Знаменская, Касимовская, Коллективная, Конотопская, Крановая, Краснокамская, Кузбасская, Курортная, Лесной Городок, Линейная, Матросова Александра, Металлистов, Металлургическая, Овчинникова, Орская, Осипенко, Передовая, Пулковская, Пурехская, Ракетная, Репина, Рижская, Серова, Тбилисская, Тихорецкая, Фибролитовая, Череповецкая, Щорса, Электровозная, Юрьевецкая, Ядринская, Якорная. Шоссе: Жиркомбината, Комсомольское - дом N 7. Переулки: Камчатский, Навашинский, Спортсменский, Степной, Шланговый. Проезд Базовый. Поселок Юдинцева.","Улицы: Авангардная, Айвазовского - дома N 4, 4лс, 5, 6, 6лс, 7, 7лс, 8, 8лс, 9, 10, Актюбинская, Аэродромная, Балаковская, Ближняя, Болотникова - дома с N 2 по N 7, 9, Брестская, Военкомовская, Вторчермета, Высоковольтная, Вязниковская, Гродненская, Знаменская, Касимовская, Коллективная, Конотопская, Крановая, Краснокамская, Кузбасская, Курортная, Лесной Городок, Линейная, Матросова Александра, Металлистов, Металлургическая, Овчинникова, Орская, Осипенко, Передовая, Пулковская, Пурехская, Ракетная, Репина, Рижская, Серова, Тбилисская, Тихорецкая, Фибролитовая, Череповецкая, Щорса, Электровозная, Юрьевецкая, Ядринская, Якорная. Шоссе: Жиркомбината, Комсомольское - дом N 7. Переулки: Камчатский, Навашинский, Спортсменский, Степной, Шланговый. Проезд Базовый. Поселок Юдинцева."
3,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2468417,Романова Инна Анатольевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Бульвар Мещерский. Улицы: Волжская набережная, Пролетарская, Сергея Акимова","Бульвар Мещерский. Улицы: Волжская набережная, Пролетарская, Сергея Акимова"
4,Канавинский район,"603950, г. Н.Новгород, ул. Гордеевская, 42",2415469,Сохраннова Раиса Аркадьевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Бульвар Мира. Площадь Ленина. Улицы: Должанская, Карла Маркса, Мурашкинская, Сергея Есенина, Совнаркомовская, Стрелка.","Бульвар Мира. Площадь Ленина. Улицы: Должанская, Карла Маркса, Мурашкинская, Сергея Есенина, Совнаркомовская, Стрелка."
5,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2460522,Шарова Ирина Леонидовна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник – четверг 15.00-16.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Ленина. Улицы: Анри Барбюса, Артемовская, Архимеда, Бакунина, Брянская, Весенняя, Витебская, Власть Советов, Войкова, Вольская, Григорьева, Докучаева, Жуковского, Зеленая, Зеленодольская - дома N 11, 13, 26, 28, 30, с N 34 по N 37, 39, с N 41 по N 43, с N 45 по N 47, с N 52 по N 54, 54а, 55, 56, 59, с N 63 по N 65, 65а, 66, 67, 69, 71, 73, 75, 77, 80, с N 82 по N 86, 89, 89а, с N 91 по N 98, с N 100 по N 103, 106, 108, 112, 114, с N 116 по N 124, с N 126 по N 144, 146, Искры, Июльских дней, Калужская, Карла Либкнехта, Климовская, Красина, Ладыгина, Ледокола ""Садко"", Литературная, Менделеева - дома N 14, 17, 19, 20, 21, с N 23 по N 27, Морская, Муромская, Напольно-выставочная, Немировича-Данченко, Обухова - дома N 21, 25, 27, 32, 33, 34, 39, 41, 49, 49а, 51, Пахомова Николая - дома N 24, 33, 35, с N 37 по N 49, 51, 52, 61, 62, 63, 64, 65, 66, 66а, 67, 68, 68а, 70а, 71, 73, Петра Алексеева, Полоцкая, Прокатная, Рубо, Самарина, Сивашская, Симферопольская, Солнечная, Спартака, Спортивная, Тамбовская, Тираспольская, Узбекская, Украинская, Чонгарская. Переулки: Балаклавский, Бодайбинский, Ботанический, Бунтарский, Врачебный, Костромской, Курганский, Рубо, Саратовский, Сивашский, Товарный, Туркменский, Холодильный.","Проспект Ленина. Улицы: Анри Барбюса, Артемовская, Архимеда, Бакунина, Брянская, Весенняя, Витебская, Власть Советов, Войкова, Вольская, Григорьева, Докучаева, Жуковского, Зеленая, Зеленодольская - дома N 11, 13, 26, 28, 30, с N 34 по N 37, 39, с N 41 по N 43, с N 45 по N 47, с N 52 по N 54, 54а, 55, 56, 59, с N 63 по N 65, 65а, 66, 67, 69, 71, 73, 75, 77, 80, с N 82 по N 86, 89, 89а, с N 91 по N 98, с N 100 по N 103, 106, 108, 112, 114, с N 116 по N 124, с N 126 по N 144, 146, Искры, Июльских дней, Калужская, Карла Либкнехта, Климовская, Красина, Ладыгина, Ледокола ""Садко"", Литературная, Менделеева - дома N 14, 17, 19, 20, 21, с N 23 по N 27, Морская, Муромская, Напольно-выставочная, Немировича-Данченко, Обухова - дома N 21, 25, 27, 32, 33, 34, 39, 41, 49, 49а, 51, Пахомова Николая - дома N 24, 33, 35, с N 37 по N 49, 51, 52, 61, 62, 63, 64, 65, 66, 66а, 67, 68, 68а, 70а, 71, 73, Петра Алексеева, Полоцкая, Прокатная, Рубо, Самарина, Сивашская, Симферопольская, Солнечная, Спартака, Спортивная, Тамбовская, Тираспольская, Узбекская, Украинская, Чонгарская. Переулки: Балаклавский, Бодайбинский, Ботанический, Бунтарский, Врачебный, Костромской, Курганский, Рубо, Саратовский, Сивашский, Товарный, Туркменский, Холодильный."
6,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2754768,Савинова Ольга Александровна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Площадь Революции. Улицы: Братьев Матусовых, Вокзальная, Даля, Долгополова, Зеленодольская - дома N 14, 18, 20, 22, Интернациональная, Канавинская, Коммунистическая, Красный Цинковальщик, Литвинова, Луначарского, Мануфактурная, Марата, Обухова - дома с N 2 по N 5, 8, 10, 13, 15, 15а, 17, 19, 20, Пахомова Николая - дома N 4, 4а, с N 5 по N 7, 9, 20, Пешкова Алеши, Приокская, Прокофьева, Революционная, Романова Ивана, Рутковского Бориса, Советская, Фильченкова, Чкалова.","Площадь Революции. Улицы: Братьев Матусовых, Вокзальная, Даля, Долгополова, Зеленодольская - дома N 14, 18, 20, 22, Интернациональная, Канавинская, Коммунистическая, Красный Цинковальщик, Литвинова, Луначарского, Мануфактурная, Марата, Обухова - дома с N 2 по N 5, 8, 10, 13, 15, 15а, 17, 19, 20, Пахомова Николая - дома N 4, 4а, с N 5 по N 7, 9, 20, Пешкова Алеши, Приокская, Прокофьева, Революционная, Романова Ивана, Рутковского Бориса, Советская, Фильченкова, Чкалова."
7,Канавинский район,"603950, г. Н.Новгород, пер. Камчатский, д.5",2292243,Хазов Евгений Константинович	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник – четверг 15.00-18.00; пятница 09.00-12.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Айвазовского - дома N 2, 10а, 11, 14, 16, с N 18 по N 20, 20а, с N 21 по N 26, 28, 30, 32, Архангельская, Балтийская, Болотникова - дома N 1, 19, 35, 37, 39, 41, 43, 45, с N 47 по N 73, Гороховецкая, Горочная, Губкина, Движенцев, Декабристов, Диспетчерская, Запрудная, Заречная, Качалова, Кишиневская, Клубная, Кольцевая, Кузовная, Лазо, Лебедева-Кумача, Невельская, Пархоменко, Подворная, Путейская, Семафорная, Сигнальная, Слуцкая, Таллинская, Тепличная, Тормозная, Ухтомского, Фонвизина. Шоссе Московское - дома N 302 - 350. Поселки: Орджоникидзе, Тепличный. Платформа 429 км.","Улицы: Айвазовского - дома N 2, 10а, 11, 14, 16, с N 18 по N 20, 20а, с N 21 по N 26, 28, 30, 32, Архангельская, Балтийская, Болотникова - дома N 1, 19, 35, 37, 39, 41, 43, 45, с N 47 по N 73, Гороховецкая, Горочная, Губкина, Движенцев, Декабристов, Диспетчерская, Запрудная, Заречная, Качалова, Кишиневская, Клубная, Кольцевая, Кузовная, Лазо, Лебедева-Кумача, Невельская, Пархоменко, Подворная, Путейская, Семафорная, Сигнальная, Слуцкая, Таллинская, Тепличная, Тормозная, Ухтомского, Фонвизина. Шоссе Московское - дома N 302 - 350. Поселки: Орджоникидзе, Тепличный. Платформа 429 км."
